Longitude,Latitude,Name
-0.161961,51.1391044,Crawley Metrobus StationRH10 9UA
-0.3422176,51.4226948,"NPL, Teddington"
-0.423171,51.466743,Hatton Cross
-0.3237969,51.5366798,Perivale Station
0.1735359,51.5173021,CEME
-2.914446,51.589659,Llanwern
-1.8410565,52.4628288,"Birmingham, Bus and car"
-1.3779939,53.3868827,Advanced Manufacturing Park
-2.7349534,53.469428,Liverpool BOC Gas & Gear
-1.3062491,54.5651565,Tees Valley
-4.251806,55.864237,格拉斯哥
-2.1157368,57.1611425,"Kittybrewster, Aberdeen"
-2.090462,57.1073831,"Tullos, AberdeenAberdeen Hydrogen Centre"
-2.9786211,58.9937561,Orkney
-5.945743,54.5548026,Belfast
