Longitude,Latitude,Name
-0.066667,53.583333,Grimsby
0.4,52.75,King's Lynn
0.7,51.433333,Isle Of Grain
0.15,52.666667,Wisbech
-0.183333,54.083333,Bridlington
1.166667,52.05,Ipswich
-0.4,54.283333,Scarborough
1.033333,51.366667,Whitstable
-0.616667,54.483333,Whitby
-2,55.766667,Berwick-Upon-Tweed
-1.5,55.116667,Blyth
1.733333,52.616667,Great Yarmouth
1.75,52.483333,Lowestoft
1.316667,51.95,Felixstowe
1.283333,51.95,Harwich
0.366667,51.45,Gravesend
-0.083333,51.5,London
-0.016667,52.966667,Boston
0.916667,51.883333,Colchester
-0.883333,53.733333,Howdendyke
-1.183333,54.7,Hartlepool
0.55,51.4,Chatham Docks
-0.833333,53.7,Goole
-0.283333,53.75,Kingston Upon Hull
-0.2,53.633333,Immingham
-0.366667,53.7,New Holland
-1.366667,54.916667,Sunderland
0.333333,51.466667,Tilbury
0.7,51.433333,Thamesport
-1.316667,54.833333,Seaham
0.75,51.45,Sheerness
-1.133333,54.65,Teesport
-1.4,55,Tynemouth
-1.583333,55.333333,Warkworth Harbour
-3.516667,50.4,Brixham Harbour
-4.7,50.35,Par
-4.633333,50.333333,Fowey Harbour
-5.55,50.1,Newlyn
-1.333333,50.816667,Fawley Marine Terminal
-4.783333,50.266667,Mevagissey
-4.75,50.333333,Charlestown
1.2,51.083333,Folkestone Harbour
1.416667,51.333333,Ramsgate
-5.533333,50.116667,Penzance
1.333333,51.116667,Dover Harbor
0.05,50.783333,Newhaven Harbour
-0.533333,50.783333,Littlehampton Harbour
-1.3,50.766667,Cowes Harbour
-3.616667,50.35,Dartmouth Harbour
-2.766667,50.716667,Bridport Harbour
-5.066667,50.15,Falmouth Harbour
-4.15,50.366667,Plymouth
-1.1,50.8,Portsmouth Harbour
-0.25,50.816667,Shoreham Harbour
-3.533333,50.466667,Torquay Harbour
-2.433333,50.583333,Portland Harbour
0.766667,50.933333,Rye Harbour
-3.5,50.55,Teignmouth Harbour
-2.45,50.616667,Weymouth Harbour
-1.5,50.7,Yarmouth Harbour
-1.95,50.683333,Poole Harbour
-1.4,50.9,Southampton
-4.2,51.033333,Bideford
-6.316667,49.916667,St. Mary's (Scilly Isl.)
-2.633333,51.466667,Bristol
-2.483333,51.716667,Sharpness
-5.416667,50.183333,Hayle
-2.716667,51.5,Avonmouth
-3,51.133333,Bridgwater
-4.933333,50.55,Padstow
-3.333333,51.183333,Watchet Harbor
-2.266667,53.483333,Manchester
-3.016667,53.916667,Fleetwood
-2.9,53.35,Garlston
-3,53.416667,Liverpool
-3.233333,54.116667,Barrow In Furness
-2.916667,54.033333,Heysham
-3.55,53.533333,Liverpool Bay Terminal
-3.633333,54.566667,Workington
-3.4,54.866667,Silloth
-3.266667,53.316667,Mostyn
